Nombre;URL;Precio;Area;Habitaciones;Baños
Apartamento en Venta, Localidad De Chapinero, Bogotá D.C.;https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-sagrado-corazon-2-habitaciones-2-banos/11813-M4676281;$330.000.000;41 m²;2;2
Apartamento en Venta, Chapinero Alto, Bogotá D.C.;https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-maria-cristina-2-habitaciones-2-banos-1-garajes/16685-M4784403;$330.000.000;65 m²;2;2
Apartamento en Venta, CHAPINERO CENTRAL, Bogotá D.C.;https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-marly-2-habitaciones-2-banos/3340-M4865028;$333.000.000;90 m²;2;2
Apartamento en Venta, Chapinero Alto, Bogotá D.C.;https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-bosque-calderon-2-habitaciones-2-banos-1-garajes/RV-M4701382;$335.000.000;57.31 m²;2;2
Apartamento en Venta, Chapinero Central, Bogotá D.C.;https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-chapinero-norte-2-habitaciones-2-banos/73-M4566237;$335.000.000;79 m²;2;2
Apartamento en Venta, CHAPINERO CENTRAL, Bogotá D.C.;https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-marly-2-habitaciones-2-banos-1-garajes/3147-M3835420;$340.000.000;62 m²;2;2
Apartamento en Venta, CHAPINERO MARLY, Bogotá D.C.;https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-marly-2-habitaciones-2-banos-1-garajes/3312-M4931849;$340.000.000;67 m²;2;2
Apartamento en Venta, Chapinero, Bogotá D.C.;https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-chapinero-central-2-habitaciones-1-banos/14925-M4938350;$340.000.000;54 m²;2;1
Apartamento en Venta, Chapinero, Bogotá D.C.;https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-chapinero-central-2-habitaciones-2-banos-1-garajes/13076-M4854543;$340.000.000;70 m²;2;2
Apartamento en Venta, Chapinero, Bogotá D.C.;https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-emaus-2-habitaciones-2-banos-1-garajes/175-M4839210;$340.000.000;75 m²;2;2
Apartamento en Venta, PALERMO MARLY Chapinero Alto, Bogotá D.C.;https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-palermo-edif-avenida-42-2-habitaciones-1-banos-1-garajes/MC4840042;$340.000.000;53 m²;2;1
Apartamento en Venta, Chapinero Central, Bogotá D.C.;https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-chapinero-norte-2-habitaciones-2-banos-1-garajes/342-M4359907;$340.000.000;85 m²;2;2
Apartamento en Venta, Chapinero Alto, Bogotá D.C.;https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-emaus-2-habitaciones-2-banos/3424-M4318506;$340.000.000;86.02 m²;2;2
Apartamento en Venta, CHAPINERO NORTE, Bogotá D.C.;https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-chapinero-norte-2-habitaciones-2-banos-1-garajes/3553-M4102650;$345.000.000;55 m²;2;2
Apartamento en Venta, Chapinero Central, Bogotá D.C.;https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-marly-2-habitaciones-2-banos/414-M4922361;$345.000.000;74 m²;2;2
Apartamento en Venta, Chapinero, Bogotá D.C.;https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-pardo-rubio-2-habitaciones-2-banos-1-garajes/10278-M3393933;$345.000.000;53 m²;2;2
Apartamento en Venta, Chapinero, Bogotá D.C.;https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-chapinero-central-2-habitaciones-2-banos-1-garajes/11369-M4115048;$349.000.000;57.5 m²;2;2
Apartamento en Venta, Chapinero, Bogotá D.C.;https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-chapinero-norte-2-habitaciones-2-banos/4796-M4486657;$349.000.000;50.25 m²;2;2
Apartamento en Venta, CHAPINERO MARLY, Bogotá D.C.;https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-marly-2-habitaciones-2-banos/13374-M3083472;$350.000.000;95 m²;2;2
Apartamento en Venta, Chapinero Alto, Bogotá D.C.;https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-pardo-rubio-2-habitaciones-2-banos-2-garajes/771-M4830061;$350.000.000;63 m²;2;2
Apartamento en Venta, CHAPINERO MARLY, Bogotá D.C.;https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-marly-2-habitaciones-2-banos/252-M3229889;$350.000.000;94.36 m²;2;2
